Tokenized_Tweet,Corrected_Token
"['skrinews', 'pdt', 'jimmy', 'mari', 'bersama', 'memerangi', 'virus', 'corona', 'covid', 'demi', 'menjaga', 'tanah', 'papua']","['skrinews', 'pdt', 'jimmy', 'mari', 'bersama', 'memerangi', 'virus', 'corona', 'covid', 'demi', 'menjaga', 'tanah', 'papua']"
"['ada', 'cara', 'menyuruh', 'covid', 'segera', 'pergi', 'jaga', 'kebersihan', 'dan', 'ketertiban', 'bukankah', 'covid', 'telah', 'mendidik', 'kita', 'agar', 'selalu', 'menjaga', 'kebersihan', 'badan', 'pakaian', 'barang', 'dan', 'lingkungan', 'dengan', 'rajin', 'mandi', 'mencuci', 'tangan', 'dan', 'tidak', 'sembarangan', 'membuang', 'sampah']","['ada', 'cara', 'menyuruh', 'covid', 'segera', 'pergi', 'jaga', 'kebersihan', 'dan', 'ketertiban', 'bukankah', 'covid', 'telah', 'mendidik', 'kita', 'agar', 'selalu', 'menjaga', 'kebersihan', 'badan', 'pakaian', 'barang', 'dan', 'lingkungan', 'dengan', 'rajin', 'mandi', 'mencuci', 'tangan', 'dan', 'tidak', 'sembarangan', 'membuang', 'sampah']"
"['kementerian', 'agama', 'provinsi', 'papua', 'barat', 'azis', 'hegemur', 'mengatakan', 'umat', 'islam', 'di', 'provinsi', 'papua', 'barat', 'diimbau', 'agar', 'tidak', 'menolak', 'pemakaman', 'jenazah', 'pasien', 'positif', 'terjangkit', 'covid', 'opm']","['kementerian', 'agama', 'provinsi', 'papua', 'barat', 'azis', 'hegemur', 'mengatakan', 'umat', 'islam', 'di', 'provinsi', 'papua', 'barat', 'diimbau', 'agar', 'tidak', 'menolak', 'pemakaman', 'jenazah', 'pasien', 'positif', 'terjangkit', 'covid', 'organisasi', 'papua', 'merdeka']"
"['aku', 'baru', 'bangun', 'tidur', 'dan', 'menyeruput', 'kopi', 'sedikit', 'ketika', 'ibuk', 'mencak', 'gak', 'karuan', 'satu', 'orang', 'pahlawan', 'garis', 'depan', 'covid', 'meninggal', 'dunia', 'dan', 'ditolak', 'warga', 'setempat', 'mungkin', 'lebih', 'tepatnya', 'sekolompok', 'warga', 'yang', 'kurang', 'edukasi']","['aku', 'baru', 'bangun', 'tidur', 'dan', 'menyeruput', 'kopi', 'sedikit', 'ketika', 'ibuk', 'mencak', 'gak', 'karuan', 'satu', 'orang', 'pahlawan', 'garis', 'depan', 'covid', 'meninggal', 'dunia', 'dan', 'ditolak', 'warga', 'setempat', 'mungkin', 'lebih', 'tepatnya', 'sekelompok', 'warga', 'yang', 'kurang', 'edukasi']"
"['jangan', 'mudik', 'dong', 'ancaman', 'penyebaran', 'covid', 'yang', 'lebih', 'luas', 'tandatangani', 'petisi', 'via']","['jangan', 'mudik', 'dong', 'ancaman', 'penyebaran', 'covid', 'yang', 'lebih', 'luas', 'tanda', 'tangani', 'petisi', 'via']"
"['berita', 'seperti', 'ini', 'tidak', 'akan', 'ditengok', 'oleh', 'muflis', 'dungu', 'kecuali', 'berita', 'hoax', 'macam', 'kudeta', 'mbs', 'pangeran', 'kena', 'covid', 'yg', 'sumbernya', 'sama', 'dari', 'kaum', 'liberal']","['berita', 'seperti', 'ini', 'tidak', 'akan', 'ditengok', 'oleh', 'muflis', 'dungu', 'kecuali', 'berita', 'hoaks', 'macam', 'kudeta', 'manajemen', 'berbasis', 'sekolah', 'pangeran', 'kena', 'covid', 'yg', 'sumbernya', 'sama', 'dari', 'kaum', 'liberal']"
"['giat', 'bhabinkamtibmas', 'polsek', 'tamalatea', 'bersama', 'aparatur', 'desa', 'kareloe', 'dan', 'relawan', 'melakukan', 'penyemprotan', 'disinfektan', 'untuk', 'mencegah', 'penyebaran', 'virus', 'covid']","['giat', 'bhayangkara', 'pembina', 'keamanan', 'dan', 'ketertiban', 'masyarakat', 'kepolisian', 'sektor', 'tamalatea', 'bersama', 'aparatur', 'desa', 'kareloe', 'dan', 'relawan', 'melakukan', 'penyemprotan', 'disinfektan', 'untuk', 'mencegah', 'penyebaran', 'virus', 'covid']"
"['temanggung', 'jawa', 'tengahanggota', 'gugus', 'tugas', 'covid', 'kelurahan', 'mungseng', 'temanggungmau', 'tak', 'bagiin', 'di', 'posko']","['temanggung', 'jawa', 'tengahanggota', 'gugus', 'tugas', 'covid', 'kelurahan', 'mungseng', 'temanggungmau', 'tak', 'bagikan', 'di', 'posko']"
"['profil', 'operasional', 'bandara', 'ap', 'ii', 'di', 'tengah', 'pandemi', 'covid']","['profil', 'operasional', 'bandara', 'apa', 'ih', 'di', 'tengah', 'pandemi', 'covid']"
"['btw', 'long', 'weekend', 'ni', 'pada', 'mau', 'kemana', 'dulu', 'sebelum', 'ada', 'nya', 'si', 'covid', 'ini', 'long', 'weekend', 'itu', 'yang', 'paling', 'di', 'nanti', 'eh', 'skrng', 'mah', 'beneran', 'panjang', 'libur', 'nya', 'di', 'kasih', 'enak', 'dirumah', 'malah', 'ngedumel', 'bae', 'dasar', 'aku']","['by', 'the', 'way', 'long', 'akhir', 'pekan', 'nih', 'pada', 'mau', 'kemana', 'dulu', 'sebelum', 'ada', 'nya', 'si', 'covid', 'ini', 'long', 'akhir', 'pekan', 'itu', 'yang', 'paling', 'di', 'nanti', 'eh', 'skrng', 'adalah', 'benaran', 'panjang', 'libur', 'nya', 'di', 'kasih', 'enak', 'di', 'rumah', 'malah', 'ngedumel', 'baik', 'dasar', 'aku']"
