Processed_Tweet,Tokenized_Tweet
posko siaga covid data para pemudik,"['posko', 'siaga', 'covid', 'data', 'para', 'pemudik']"
planning buat liburan ke sabang batall howalaahh covid covid,"['planning', 'buat', 'liburan', 'ke', 'sabang', 'batall', 'howalaahh', 'covid', 'covid']"
bagi anda korban phk atau dirumahkan akibat penyebaran virus covid yuk daftarkan diri anda untuk mendapatkan kartu pra kerja mudah koq,"['bagi', 'anda', 'korban', 'phk', 'atau', 'dirumahkan', 'akibat', 'penyebaran', 'virus', 'covid', 'yuk', 'daftarkan', 'diri', 'anda', 'untuk', 'mendapatkan', 'kartu', 'pra', 'kerja', 'mudah', 'koq']"
bersama bersatu lawan penyebaran virus corona covid jaga kesehatan jauhi kerumunan cuci tangan pakai sabun serta tetap infolingga,"['bersama', 'bersatu', 'lawan', 'penyebaran', 'virus', 'corona', 'covid', 'jaga', 'kesehatan', 'jauhi', 'kerumunan', 'cuci', 'tangan', 'pakai', 'sabun', 'serta', 'tetap', 'infolingga']"
bencana nasional covid satu warga positif corona pemprov ntt koordinasi dengan kemenkes,"['bencana', 'nasional', 'covid', 'satu', 'warga', 'positif', 'corona', 'pemprov', 'ntt', 'koordinasi', 'dengan', 'kemenkes']"
hingga saat ini korut mengklaim masih terbebas dari virus covid padahal dua negara yang mengapitnya yakni kosel dan china menjadi episentrum,"['hingga', 'saat', 'ini', 'korut', 'mengklaim', 'masih', 'terbebas', 'dari', 'virus', 'covid', 'padahal', 'dua', 'negara', 'yang', 'mengapitnya', 'yakni', 'kosel', 'dan', 'china', 'menjadi', 'episentrum']"
kapolrestabes semarang bersama forkopimda kota semarang memberikan himbauan kepada masyarakat untuk memakai masker jaga kebersihan dan tetap di rumah guna memutus mata rantai penyebaran virus corona atau covid,"['kapolrestabes', 'semarang', 'bersama', 'forkopimda', 'kota', 'semarang', 'memberikan', 'himbauan', 'kepada', 'masyarakat', 'untuk', 'memakai', 'masker', 'jaga', 'kebersihan', 'dan', 'tetap', 'di', 'rumah', 'guna', 'memutus', 'mata', 'rantai', 'penyebaran', 'virus', 'corona', 'atau', 'covid']"
kalo ga covid hari ini tuh udah h nangis di pojokan,"['kalo', 'ga', 'covid', 'hari', 'ini', 'tuh', 'udah', 'h', 'nangis', 'di', 'pojokan']"
ketularan covid dari pemudik jakarta kota kediri tambah kasus positif,"['ketularan', 'covid', 'dari', 'pemudik', 'jakarta', 'kota', 'kediri', 'tambah', 'kasus', 'positif']"
siapapun yang berpolitik di tengah wabah covid itu tidak peduli rakyat,"['siapapun', 'yang', 'berpolitik', 'di', 'tengah', 'wabah', 'covid', 'itu', 'tidak', 'peduli', 'rakyat']"
bersama bersatu melawan penyebaran virus corona covid di kabupaten lingga jaga kesehatan jauhi kerumunan cuci tangan pakai sabun serta tetap infolingga info,"['bersama', 'bersatu', 'melawan', 'penyebaran', 'virus', 'corona', 'covid', 'di', 'kabupaten', 'lingga', 'jaga', 'kesehatan', 'jauhi', 'kerumunan', 'cuci', 'tangan', 'pakai', 'sabun', 'serta', 'tetap', 'infolingga', 'info']"
banyak tanggal merah pas lagi wabah covid,"['banyak', 'tanggal', 'merah', 'pas', 'lagi', 'wabah', 'covid']"
pejuang covid,"['pejuang', 'covid']"
gpp nyai mendingan gitu hibur diri daripada keluar rumah tetap sehat nyai semoga alloh melindungi dan menjauhkan wabah covid utk kita semua aamiin yra,"['gpp', 'nyai', 'mendingan', 'gitu', 'hibur', 'diri', 'daripada', 'keluar', 'rumah', 'tetap', 'sehat', 'nyai', 'semoga', 'alloh', 'melindungi', 'dan', 'menjauhkan', 'wabah', 'covid', 'utk', 'kita', 'semua', 'aamiin', 'yra']"
lebih narapidana bebas di tengah wabah covid termasuk koruptorkebayang ga sih klo kita sudah susah payah menangkap tikus sampai dapat banyak bgt itupun blm semuanya eeehh tau mau dilepaskan kyk apa jadinya rumah kita,"['lebih', 'narapidana', 'bebas', 'di', 'tengah', 'wabah', 'covid', 'termasuk', 'koruptorkebayang', 'ga', 'sih', 'klo', 'kita', 'sudah', 'susah', 'payah', 'menangkap', 'tikus', 'sampai', 'dapat', 'banyak', 'bgt', 'itupun', 'blm', 'semuanya', 'eeehh', 'tau', 'mau', 'dilepaskan', 'kyk', 'apa', 'jadinya', 'rumah', 'kita']"
physical distancing memutus rantai penyebaran covid,"['physical', 'distancing', 'memutus', 'rantai', 'penyebaran', 'covid']"
seram jatuh tempo massal covid di usa bagaimana dengan indonesia,"['seram', 'jatuh', 'tempo', 'massal', 'covid', 'di', 'usa', 'bagaimana', 'dengan', 'indonesia']"
repotnya sissy priscillia dampingi anak sekolah sambil bekerja dari rumah selama wabah covid,"['repotnya', 'sissy', 'priscillia', 'dampingi', 'anak', 'sekolah', 'sambil', 'bekerja', 'dari', 'rumah', 'selama', 'wabah', 'covid']"
tak kenal lelah tim gugus tugas covid kembali semprot pemukiman padat penduduk di belawan,"['tak', 'kenal', 'lelah', 'tim', 'gugus', 'tugas', 'covid', 'kembali', 'semprot', 'pemukiman', 'padat', 'penduduk', 'di', 'belawan']"
begitu ntar bnyak yg kena covid si miskin yg dituduh bawa virus ya nasib jadi org miskin ky gw kuli proyeksopir ambulans dan kang gali kubur bakal kena getahnya lindungi kami kaum miskin ya rabb,"['begitu', 'ntar', 'bnyak', 'yg', 'kena', 'covid', 'si', 'miskin', 'yg', 'dituduh', 'bawa', 'virus', 'ya', 'nasib', 'jadi', 'org', 'miskin', 'ky', 'gw', 'kuli', 'proyeksopir', 'ambulans', 'dan', 'kang', 'gali', 'kubur', 'bakal', 'kena', 'getahnya', 'lindungi', 'kami', 'kaum', 'miskin', 'ya', 'rabb']"
berapa banyak bahan kempen dia mahu padam da daripada release padam release padam macam ni lebih baik dok dendiam wat keje yg org tk nampak takyah wat kempen langsung save wang kerajaan boleh masuk tabung covid tolong rakyat,"['berapa', 'banyak', 'bahan', 'kempen', 'dia', 'mahu', 'padam', 'da', 'daripada', 'release', 'padam', 'release', 'padam', 'macam', 'ni', 'lebih', 'baik', 'dok', 'dendiam', 'wat', 'keje', 'yg', 'org', 'tk', 'nampak', 'takyah', 'wat', 'kempen', 'langsung', 'save', 'wang', 'kerajaan', 'boleh', 'masuk', 'tabung', 'covid', 'tolong', 'rakyat']"
panduan isolasi mandiri antisipasi penyebaran covid,"['panduan', 'isolasi', 'mandiri', 'antisipasi', 'penyebaran', 'covid']"
betoi tuzmn pkp ni kita spatut bantu nambah beban pulaksb spesis ni la yg angkuh bodoh ni bertambah kes covid ni,"['betoi', 'tuzmn', 'pkp', 'ni', 'kita', 'spatut', 'bantu', 'nambah', 'beban', 'pulaksb', 'spesis', 'ni', 'la', 'yg', 'angkuh', 'bodoh', 'ni', 'bertambah', 'kes', 'covid', 'ni']"
nih aku kasih tips cegah penyebaran berita hoax covid di wateliti dulu beritanya ya kakjangan asal teruskan,"['nih', 'aku', 'kasih', 'tips', 'cegah', 'penyebaran', 'berita', 'hoax', 'covid', 'di', 'wateliti', 'dulu', 'beritanya', 'ya', 'kakjangan', 'asal', 'teruskan']"
surabaya babinsa koramil tenggilis mejoyo terus berupaya melaksanakan sosialisasi kepada warga masyarakatnya untuk meredam mewabahnya virus corona atau covid kali ini serma siswono dan sertu supri warsoyo,"['surabaya', 'babinsa', 'koramil', 'tenggilis', 'mejoyo', 'terus', 'berupaya', 'melaksanakan', 'sosialisasi', 'kepada', 'warga', 'masyarakatnya', 'untuk', 'meredam', 'mewabahnya', 'virus', 'corona', 'atau', 'covid', 'kali', 'ini', 'serma', 'siswono', 'dan', 'sertu', 'supri', 'warsoyo']"
virus corona tak mengenal usia pangkat maupun jabatan mereka yang berada di keluarga kerajaan saudi pun tertular covid,"['virus', 'corona', 'tak', 'mengenal', 'usia', 'pangkat', 'maupun', 'jabatan', 'mereka', 'yang', 'berada', 'di', 'keluarga', 'kerajaan', 'saudi', 'pun', 'tertular', 'covid']"
asalamualaikum selamat pagi semua semogga hari ini lebih baik dr hati sebelumnya semogga covid cepat berlalu dan sebelum masuk bulan rohomadhon semgga tidak ada covid lagi amin ya robal alamin,"['asalamualaikum', 'selamat', 'pagi', 'semua', 'semogga', 'hari', 'ini', 'lebih', 'baik', 'dr', 'hati', 'sebelumnya', 'semogga', 'covid', 'cepat', 'berlalu', 'dan', 'sebelum', 'masuk', 'bulan', 'rohomadhon', 'semgga', 'tidak', 'ada', 'covid', 'lagi', 'amin', 'ya', 'robal', 'alamin']"
mudahan semua covid p badan mu,"['mudahan', 'semua', 'covid', 'p', 'badan', 'mu']"
mimpi semalam psbb bertahan hanya beberapa hari dibatalkan karena kasus covid datanya dibuat tampak sudah tidak bertambah tekanan berbagai pihak membuat pemerintah segera menjalankan kegiatan perekonomian seperti sedia kala ahli kesehatan dan tenaga medis hanya bisa pasrah,"['mimpi', 'semalam', 'psbb', 'bertahan', 'hanya', 'beberapa', 'hari', 'dibatalkan', 'karena', 'kasus', 'covid', 'datanya', 'dibuat', 'tampak', 'sudah', 'tidak', 'bertambah', 'tekanan', 'berbagai', 'pihak', 'membuat', 'pemerintah', 'segera', 'menjalankan', 'kegiatan', 'perekonomian', 'seperti', 'sedia', 'kala', 'ahli', 'kesehatan', 'dan', 'tenaga', 'medis', 'hanya', 'bisa', 'pasrah']"
dampak covid terhadap perekonomian indonesia jawab kondisi sekarang ini akan berimbas pada menurunnya konsumsi rumah tanggalebih dari itu investasi pun akan merosot tajam maka covid diprediksi investasi akan merosot ke level satu persen atau terburuk,"['dampak', 'covid', 'terhadap', 'perekonomian', 'indonesia', 'jawab', 'kondisi', 'sekarang', 'ini', 'akan', 'berimbas', 'pada', 'menurunnya', 'konsumsi', 'rumah', 'tanggalebih', 'dari', 'itu', 'investasi', 'pun', 'akan', 'merosot', 'tajam', 'maka', 'covid', 'diprediksi', 'investasi', 'akan', 'merosot', 'ke', 'level', 'satu', 'persen', 'atau', 'terburuk']"
cegah covid di area physical distancing,"['cegah', 'covid', 'di', 'area', 'physical', 'distancing']"
kalo perusahaan baru yang mau bikin efin bagaimana min secara lagi ada wabah covid ini apa ke kantor pajak setempat atau secara online min trmksh,"['kalo', 'perusahaan', 'baru', 'yang', 'mau', 'bikin', 'efin', 'bagaimana', 'min', 'secara', 'lagi', 'ada', 'wabah', 'covid', 'ini', 'apa', 'ke', 'kantor', 'pajak', 'setempat', 'atau', 'secara', 'online', 'min', 'trmksh']"
peta identifikasi sebaran covid di kota serang update per hari ini berdasarkan postingan dinkeskotaserang pasien positif di kota serang bertambah sehingga total menjadi oranghalhal terkait pertanyaan,"['peta', 'identifikasi', 'sebaran', 'covid', 'di', 'kota', 'serang', 'update', 'per', 'hari', 'ini', 'berdasarkan', 'postingan', 'dinkeskotaserang', 'pasien', 'positif', 'di', 'kota', 'serang', 'bertambah', 'sehingga', 'total', 'menjadi', 'oranghalhal', 'terkait', 'pertanyaan']"
semenjak covid niramai ke pompuan yg gigih pakai make up keluar rumahdengan mask lagi,"['semenjak', 'covid', 'niramai', 'ke', 'pompuan', 'yg', 'gigih', 'pakai', 'make', 'up', 'keluar', 'rumahdengan', 'mask', 'lagi']"
klo sy lebih berduka dgn meninggalnya para petugas medis yg berjibaku mengamankan pasien dari covid,"['klo', 'sy', 'lebih', 'berduka', 'dgn', 'meninggalnya', 'para', 'petugas', 'medis', 'yg', 'berjibaku', 'mengamankan', 'pasien', 'dari', 'covid']"
selamat pagi dapat kami informasikan untuk informasi lengkap jadwal perjalanan krl mulai april bisa di lihat pada website link berikut tks,"['selamat', 'pagi', 'dapat', 'kami', 'informasikan', 'untuk', 'informasi', 'lengkap', 'jadwal', 'perjalanan', 'krl', 'mulai', 'april', 'bisa', 'di', 'lihat', 'pada', 'website', 'link', 'berikut', 'tks']"
covid menyebar ke binatang kah semoga para ahli menelitinya,"['covid', 'menyebar', 'ke', 'binatang', 'kah', 'semoga', 'para', 'ahli', 'menelitinya']"
semoga indonesia mampu menekan lonjakan pasien covid di tengah tengah minimnya apd,"['semoga', 'indonesia', 'mampu', 'menekan', 'lonjakan', 'pasien', 'covid', 'di', 'tengah', 'tengah', 'minimnya', 'apd']"
kepastin ttg kapan miss covid pergi dari muka bumi,"['kepastin', 'ttg', 'kapan', 'miss', 'covid', 'pergi', 'dari', 'muka', 'bumi']"
jangan tularkan covid di kampung halaman,"['jangan', 'tularkan', 'covid', 'di', 'kampung', 'halaman']"
selama pandemik covid polri ungkap angka kejahatan menurun,"['selama', 'pandemik', 'covid', 'polri', 'ungkap', 'angka', 'kejahatan', 'menurun']"
mau kesana ngambil sendiri jadi ragu di tambah situasi saat ini yg mengharuskan stay at home karena covid mohon untuk evaluasinya yaa soalnya batas konfirmasi produk dari shopee nya tanggal april ini terima kasih,"['mau', 'kesana', 'ngambil', 'sendiri', 'jadi', 'ragu', 'di', 'tambah', 'situasi', 'saat', 'ini', 'yg', 'mengharuskan', 'stay', 'at', 'home', 'karena', 'covid', 'mohon', 'untuk', 'evaluasinya', 'yaa', 'soalnya', 'batas', 'konfirmasi', 'produk', 'dari', 'shopee', 'nya', 'tanggal', 'april', 'ini', 'terima', 'kasih']"
polres trenggalek melakukan patroli untuk menghimbau masyarakat untuk jaga jarak karena masih saja ada warga yng suka nongkrong,"['polres', 'trenggalek', 'melakukan', 'patroli', 'untuk', 'menghimbau', 'masyarakat', 'untuk', 'jaga', 'jarak', 'karena', 'masih', 'saja', 'ada', 'warga', 'yng', 'suka', 'nongkrong']"
orang temenya glenn jangan ikut nyusul dulu biarkan disiksa dulu oleh virus coronacovid,"['orang', 'temenya', 'glenn', 'jangan', 'ikut', 'nyusul', 'dulu', 'biarkan', 'disiksa', 'dulu', 'oleh', 'virus', 'coronacovid']"
doa saya semoga dunia ini terbebas dari yg namanya virus corona covid agar dunia ini kembali sehat dan manusianya bisa lebih bersyukur kepada allah swt diberikan kesehatan dan kebahagiaan amin,"['doa', 'saya', 'semoga', 'dunia', 'ini', 'terbebas', 'dari', 'yg', 'namanya', 'virus', 'corona', 'covid', 'agar', 'dunia', 'ini', 'kembali', 'sehat', 'dan', 'manusianya', 'bisa', 'lebih', 'bersyukur', 'kepada', 'allah', 'swt', 'diberikan', 'kesehatan', 'dan', 'kebahagiaan', 'amin']"
kampung panglime linting melakukan pencegahan covid virus korona bersama masyarakat,"['kampung', 'panglime', 'linting', 'melakukan', 'pencegahan', 'covid', 'virus', 'korona', 'bersama', 'masyarakat']"
covid sialan emg,"['covid', 'sialan', 'emg']"
ramuan empon empon buat jaga kesehatan dimasa virus covid corona jahe bagusnya jahe merah temulawak cengkeh kunir kunyit sereh kayu manis gula merah madu,"['ramuan', 'empon', 'empon', 'buat', 'jaga', 'kesehatan', 'dimasa', 'virus', 'covid', 'corona', 'jahe', 'bagusnya', 'jahe', 'merah', 'temulawak', 'cengkeh', 'kunir', 'kunyit', 'sereh', 'kayu', 'manis', 'gula', 'merah', 'madu']"
pakai masker mainkan yoyo mu potret ini di sd vita school dilakukan sebelum pandemi covid tp budaya menggunakan masker sudah dilakukan contact us cak dolan,"['pakai', 'masker', 'mainkan', 'yoyo', 'mu', 'potret', 'ini', 'di', 'sd', 'vita', 'school', 'dilakukan', 'sebelum', 'pandemi', 'covid', 'tp', 'budaya', 'menggunakan', 'masker', 'sudah', 'dilakukan', 'contact', 'us', 'cak', 'dolan']"
tidak usah cuti laahh kita mengejar ketertinggalan kemarin aja masih belum terkejar belumlagi covid tambah tertinggal lagi jgn malah dijadikan modus,"['tidak', 'usah', 'cuti', 'laahh', 'kita', 'mengejar', 'ketertinggalan', 'kemarin', 'aja', 'masih', 'belum', 'terkejar', 'belumlagi', 'covid', 'tambah', 'tertinggal', 'lagi', 'jgn', 'malah', 'dijadikan', 'modus']"
amit kalau kalian ntar yg pada nolak terus positif covid dan ngga ada yg mau ngerawat kalian kalian bisa apaa,"['amit', 'kalau', 'kalian', 'ntar', 'yg', 'pada', 'nolak', 'terus', 'positif', 'covid', 'dan', 'ngga', 'ada', 'yg', 'mau', 'ngerawat', 'kalian', 'kalian', 'bisa', 'apaa']"
wahai seluruh perantau yg masih ada di jakartaingatlah bahwa kita semua adalah odp covidpikirkan baikbaik jika kalian ingin memaksakan pulang kampung apapun alasannyajangan sampai hal seperti di gambar ini kalian lakukan,"['wahai', 'seluruh', 'perantau', 'yg', 'masih', 'ada', 'di', 'jakartaingatlah', 'bahwa', 'kita', 'semua', 'adalah', 'odp', 'covidpikirkan', 'baikbaik', 'jika', 'kalian', 'ingin', 'memaksakan', 'pulang', 'kampung', 'apapun', 'alasannyajangan', 'sampai', 'hal', 'seperti', 'di', 'gambar', 'ini', 'kalian', 'lakukan']"
nama virus ni covid la bukan convic bukan convin adoiii bebal,"['nama', 'virus', 'ni', 'covid', 'la', 'bukan', 'convic', 'bukan', 'convin', 'adoiii', 'bebal']"
cegah virus corona covid srikandi polres pasuruan bagikan masker ke masyarakat,"['cegah', 'virus', 'corona', 'covid', 'srikandi', 'polres', 'pasuruan', 'bagikan', 'masker', 'ke', 'masyarakat']"
unggal lilir ngaragap tarang alhamdulillah heunteu panas efek covid,"['unggal', 'lilir', 'ngaragap', 'tarang', 'alhamdulillah', 'heunteu', 'panas', 'efek', 'covid']"
aliansi bali lawan covid siap bersinergi dengan pemerintah kota denpasar dalam memutus penyebaran covid via mengungkap fakta meluruskan sejarah,"['aliansi', 'bali', 'lawan', 'covid', 'siap', 'bersinergi', 'dengan', 'pemerintah', 'kota', 'denpasar', 'dalam', 'memutus', 'penyebaran', 'covid', 'via', 'mengungkap', 'fakta', 'meluruskan', 'sejarah']"
eh ini tl udah kaga sliweran berita covid ud kelar kali ya apa gmna,"['eh', 'ini', 'tl', 'udah', 'kaga', 'sliweran', 'berita', 'covid', 'ud', 'kelar', 'kali', 'ya', 'apa', 'gmna']"
pekerja di jatim jadi korban phk karena covid via,"['pekerja', 'di', 'jatim', 'jadi', 'korban', 'phk', 'karena', 'covid', 'via']"
buat masa ni lebih baik tumpukan pada mereka yang terkesan pada musim covid ni,"['buat', 'masa', 'ni', 'lebih', 'baik', 'tumpukan', 'pada', 'mereka', 'yang', 'terkesan', 'pada', 'musim', 'covid', 'ni']"
kemenkeuri pemerintah siapkan kebijakan extraordinary untuk tangani covid untuk itu belanja negara meningkat untuk fasilitas dan pelayanan kesehatan bantuan sosial dan pemberian stimulus,"['kemenkeuri', 'pemerintah', 'siapkan', 'kebijakan', 'extraordinary', 'untuk', 'tangani', 'covid', 'untuk', 'itu', 'belanja', 'negara', 'meningkat', 'untuk', 'fasilitas', 'dan', 'pelayanan', 'kesehatan', 'bantuan', 'sosial', 'dan', 'pemberian', 'stimulus']"
nunggu covid beres,"['nunggu', 'covid', 'beres']"
suruh news anchor kalian pake masker lah selain utk melawan covid hal ini jg sbg cara meng edukasi msy yg ngeyel gak mau pakai masker,"['suruh', 'news', 'anchor', 'kalian', 'pake', 'masker', 'lah', 'selain', 'utk', 'melawan', 'covid', 'hal', 'ini', 'jg', 'sbg', 'cara', 'meng', 'edukasi', 'msy', 'yg', 'ngeyel', 'gak', 'mau', 'pakai', 'masker']"
awalnya rezim jkw meremehkan menutupi demi amankan turis proyekx investor tka dari negara cina komunis tapi saat indonesia diserang penguasa gagap tidak bisa mencegah mengendalikan lindungi rakyat dari tertular kematian,"['awalnya', 'rezim', 'jkw', 'meremehkan', 'menutupi', 'demi', 'amankan', 'turis', 'proyekx', 'investor', 'tka', 'dari', 'negara', 'cina', 'komunis', 'tapi', 'saat', 'indonesia', 'diserang', 'penguasa', 'gagap', 'tidak', 'bisa', 'mencegah', 'mengendalikan', 'lindungi', 'rakyat', 'dari', 'tertular', 'kematian']"
bantu tenaga medis rawat pasien covid mata garuda sulsel produksi apd,"['bantu', 'tenaga', 'medis', 'rawat', 'pasien', 'covid', 'mata', 'garuda', 'sulsel', 'produksi', 'apd']"
new post covid bisakah obat penghilang gumpalan membantu menyelamatkan nyawa pasien dengan ventilator has been published on kafe kepo,"['new', 'post', 'covid', 'bisakah', 'obat', 'penghilang', 'gumpalan', 'membantu', 'menyelamatkan', 'nyawa', 'pasien', 'dengan', 'ventilator', 'has', 'been', 'published', 'on', 'kafe', 'kepo']"
belanja sayur online diserbu warganet saat pandemi covid,"['belanja', 'sayur', 'online', 'diserbu', 'warganet', 'saat', 'pandemi', 'covid']"
semoga covid segera berakhir aamiin,"['semoga', 'covid', 'segera', 'berakhir', 'aamiin']"
gubernur gorontalo rusli habibie mengumumkan kasus positif pertama di gorontalo kamis malamfoto adiwinata solihin,"['gubernur', 'gorontalo', 'rusli', 'habibie', 'mengumumkan', 'kasus', 'positif', 'pertama', 'di', 'gorontalo', 'kamis', 'malamfoto', 'adiwinata', 'solihin']"
berita artis meninggal mungkin sengaja di besarkan utk mengalihkan berita atas kelalaian pemerintah mengatasi wabah covid,"['berita', 'artis', 'meninggal', 'mungkin', 'sengaja', 'di', 'besarkan', 'utk', 'mengalihkan', 'berita', 'atas', 'kelalaian', 'pemerintah', 'mengatasi', 'wabah', 'covid']"
dholat berjamaah dilarangngopi diwarung dilarangpesta nikahan dilarang n dibubarinada yg mati yag ngelayat sampai penuh kok ngak dilarang n dibubarinvirus covid madih ada,"['dholat', 'berjamaah', 'dilarangngopi', 'diwarung', 'dilarangpesta', 'nikahan', 'dilarang', 'n', 'dibubarinada', 'yg', 'mati', 'yag', 'ngelayat', 'sampai', 'penuh', 'kok', 'ngak', 'dilarang', 'n', 'dibubarinvirus', 'covid', 'madih', 'ada']"
kumpulan poster stay at home untuk edukasi covid bagikan lewat facebook whatsapp dan instagram via,"['kumpulan', 'poster', 'stay', 'at', 'home', 'untuk', 'edukasi', 'covid', 'bagikan', 'lewat', 'facebook', 'whatsapp', 'dan', 'instagram', 'via']"
bayani akan yadda zakazaki gujewa coronavirus covid,"['bayani', 'akan', 'yadda', 'zakazaki', 'gujewa', 'coronavirus', 'covid']"
juara pubg ned brotherhood untuk selangor cybergames stay home edition tahniah kepada pemenang nantikan selangor cyber games yang akan berlangsung selepas kita berjaya lawan covid terima kasih juga yg menyumbang semasa kejohanan ini dengan rm berjaya dikutip,"['juara', 'pubg', 'ned', 'brotherhood', 'untuk', 'selangor', 'cybergames', 'stay', 'home', 'edition', 'tahniah', 'kepada', 'pemenang', 'nantikan', 'selangor', 'cyber', 'games', 'yang', 'akan', 'berlangsung', 'selepas', 'kita', 'berjaya', 'lawan', 'covid', 'terima', 'kasih', 'juga', 'yg', 'menyumbang', 'semasa', 'kejohanan', 'ini', 'dengan', 'rm', 'berjaya', 'dikutip']"
tim pesisir selatan sisir warga pernah kontak dua pasien covid,"['tim', 'pesisir', 'selatan', 'sisir', 'warga', 'pernah', 'kontak', 'dua', 'pasien', 'covid']"
artikel covid dan kehidupan sosial bermasyarakat,"['artikel', 'covid', 'dan', 'kehidupan', 'sosial', 'bermasyarakat']"
ni timbus je dgn salji konfem virus covid tak serang dorang,"['ni', 'timbus', 'je', 'dgn', 'salji', 'konfem', 'virus', 'covid', 'tak', 'serang', 'dorang']"
cegah penyebaran covid tim satgas periksa setiap kapal yang masuk,"['cegah', 'penyebaran', 'covid', 'tim', 'satgas', 'periksa', 'setiap', 'kapal', 'yang', 'masuk']"
alhamdulillah semoga abang sehat selalu semoga indonesia cepat terbebas dari covid,"['alhamdulillah', 'semoga', 'abang', 'sehat', 'selalu', 'semoga', 'indonesia', 'cepat', 'terbebas', 'dari', 'covid']"
indonesia tegaskan perlunya dk pbb tunjukkan kesatuan dlm atasi dampak covid thdp perdamaian amp keamanan internasional perlu kerja sama global solidaritas amp hindari diskriminasi serta stigmatisasi,"['indonesia', 'tegaskan', 'perlunya', 'dk', 'pbb', 'tunjukkan', 'kesatuan', 'dlm', 'atasi', 'dampak', 'covid', 'thdp', 'perdamaian', 'amp', 'keamanan', 'internasional', 'perlu', 'kerja', 'sama', 'global', 'solidaritas', 'amp', 'hindari', 'diskriminasi', 'serta', 'stigmatisasi']"
untuk saat ini merekalah garda terdepan dalam menangani covid ini tunjukan rasa kemanusiaan berpikirlah dengan cerdas,"['untuk', 'saat', 'ini', 'merekalah', 'garda', 'terdepan', 'dalam', 'menangani', 'covid', 'ini', 'tunjukan', 'rasa', 'kemanusiaan', 'berpikirlah', 'dengan', 'cerdas']"
perawat ini yg ngerawat pasien covid kalau mereka sampai terkena itu sudah resiko pekerjaan merekanyawa mereka taruhkan demi kesembuhan kalian terus sekarang mau dimakamin di daerahnya malah kalian tolakhatinya nurani kalian tuh pada dimana sih,"['perawat', 'ini', 'yg', 'ngerawat', 'pasien', 'covid', 'kalau', 'mereka', 'sampai', 'terkena', 'itu', 'sudah', 'resiko', 'pekerjaan', 'merekanyawa', 'mereka', 'taruhkan', 'demi', 'kesembuhan', 'kalian', 'terus', 'sekarang', 'mau', 'dimakamin', 'di', 'daerahnya', 'malah', 'kalian', 'tolakhatinya', 'nurani', 'kalian', 'tuh', 'pada', 'dimana', 'sih']"
jasamu luar biasa tenaga medis yg tlah gugur berjihad di tengah wabah covid,"['jasamu', 'luar', 'biasa', 'tenaga', 'medis', 'yg', 'tlah', 'gugur', 'berjihad', 'di', 'tengah', 'wabah', 'covid']"
covid menelanjangi dan mempertontonkan kepada kita bagaimana ini diurus,"['covid', 'menelanjangi', 'dan', 'mempertontonkan', 'kepada', 'kita', 'bagaimana', 'ini', 'diurus']"
dprd kota makassar infodprdkotamakassar pemerintah makassar realokasi refocusing anggaran sebesar milyar untuk penanganan dampak pandemi covid di kota makassar ketua dprd kota,"['dprd', 'kota', 'makassar', 'infodprdkotamakassar', 'pemerintah', 'makassar', 'realokasi', 'refocusing', 'anggaran', 'sebesar', 'milyar', 'untuk', 'penanganan', 'dampak', 'pandemi', 'covid', 'di', 'kota', 'makassar', 'ketua', 'dprd', 'kota']"
kesan covid merentas pelbagai lapisan iaitu perubatan media dan ideologi politik kini kedengaran analisis geopolitik mengenai covid berlegar dalam media mohd azmi abdul hamid,"['kesan', 'covid', 'merentas', 'pelbagai', 'lapisan', 'iaitu', 'perubatan', 'media', 'dan', 'ideologi', 'politik', 'kini', 'kedengaran', 'analisis', 'geopolitik', 'mengenai', 'covid', 'berlegar', 'dalam', 'media', 'mohd', 'azmi', 'abdul', 'hamid']"
memperingati milad imam mahdi afs dpw abi sumsel dan dpd abi kab probolinggo giat sosial pencegahan covid lewat,"['memperingati', 'milad', 'imam', 'mahdi', 'afs', 'dpw', 'abi', 'sumsel', 'dan', 'dpd', 'abi', 'kab', 'probolinggo', 'giat', 'sosial', 'pencegahan', 'covid', 'lewat']"
yah orang seperti anda ini yg kalau dimutasi menjadi virus yg lebih berbahaya dari sekedar covid yang kalau ngomong dikit obat sakit kepala itu bodrexpokoknya harus bodrex padahal ko antokkan kepala kau ke batu itu pun sembuh pak sampek sini paham anda,"['yah', 'orang', 'seperti', 'anda', 'ini', 'yg', 'kalau', 'dimutasi', 'menjadi', 'virus', 'yg', 'lebih', 'berbahaya', 'dari', 'sekedar', 'covid', 'yang', 'kalau', 'ngomong', 'dikit', 'obat', 'sakit', 'kepala', 'itu', 'bodrexpokoknya', 'harus', 'bodrex', 'padahal', 'ko', 'antokkan', 'kepala', 'kau', 'ke', 'batu', 'itu', 'pun', 'sembuh', 'pak', 'sampek', 'sini', 'paham', 'anda']"
alasan kenapa ndak boleh lelarian sepedaan joging bareng di masa pandemik covid,"['alasan', 'kenapa', 'ndak', 'boleh', 'lelarian', 'sepedaan', 'joging', 'bareng', 'di', 'masa', 'pandemik', 'covid']"
