Processed_Tweet,Tokenized_Tweet
aku baru bangun tidur dan menyeruput kopi sedikit ketika ibuk mencak gak karuan satu orang pahlawan garis depan covid meninggal dunia dan ditolak warga setempat mungkin lebih tepatnya sekolompok warga yang kurang edukasi,"['aku', 'baru', 'bangun', 'tidur', 'dan', 'menyeruput', 'kopi', 'sedikit', 'ketika', 'ibuk', 'mencak', 'gak', 'karuan', 'satu', 'orang', 'pahlawan', 'garis', 'depan', 'covid', 'meninggal', 'dunia', 'dan', 'ditolak', 'warga', 'setempat', 'mungkin', 'lebih', 'tepatnya', 'sekolompok', 'warga', 'yang', 'kurang', 'edukasi']"
jangan mudik dong ancaman penyebaran covid yang lebih luas tandatangani petisi via,"['jangan', 'mudik', 'dong', 'ancaman', 'penyebaran', 'covid', 'yang', 'lebih', 'luas', 'tandatangani', 'petisi', 'via']"
berita seperti ini tidak akan ditengok oleh muflis dungu kecuali berita hoax macam kudeta mbs pangeran kena covid yg sumbernya sama dari kaum liberal,"['berita', 'seperti', 'ini', 'tidak', 'akan', 'ditengok', 'oleh', 'muflis', 'dungu', 'kecuali', 'berita', 'hoax', 'macam', 'kudeta', 'mbs', 'pangeran', 'kena', 'covid', 'yg', 'sumbernya', 'sama', 'dari', 'kaum', 'liberal']"
giat bhabinkamtibmas polsek tamalatea bersama aparatur desa kareloe dan relawan melakukan penyemprotan disinfektan untuk mencegah penyebaran virus covid,"['giat', 'bhabinkamtibmas', 'polsek', 'tamalatea', 'bersama', 'aparatur', 'desa', 'kareloe', 'dan', 'relawan', 'melakukan', 'penyemprotan', 'disinfektan', 'untuk', 'mencegah', 'penyebaran', 'virus', 'covid']"
temanggung jawa tengahanggota gugus tugas covid kelurahan mungseng temanggungmau tak bagiin di posko,"['temanggung', 'jawa', 'tengahanggota', 'gugus', 'tugas', 'covid', 'kelurahan', 'mungseng', 'temanggungmau', 'tak', 'bagiin', 'di', 'posko']"
profil operasional bandara ap ii di tengah pandemi covid,"['profil', 'operasional', 'bandara', 'ap', 'ii', 'di', 'tengah', 'pandemi', 'covid']"
btw long weekend ni pada mau kemana dulu sebelum ada nya si covid ini long weekend itu yang paling di nanti eh skrng mah beneran panjang libur nya di kasih enak dirumah malah ngedumel bae dasar aku,"['btw', 'long', 'weekend', 'ni', 'pada', 'mau', 'kemana', 'dulu', 'sebelum', 'ada', 'nya', 'si', 'covid', 'ini', 'long', 'weekend', 'itu', 'yang', 'paling', 'di', 'nanti', 'eh', 'skrng', 'mah', 'beneran', 'panjang', 'libur', 'nya', 'di', 'kasih', 'enak', 'dirumah', 'malah', 'ngedumel', 'bae', 'dasar', 'aku']"
hallo dan mau laporkan adanya kegiatan yang melanggar ketentuan tentang jaga jarak selama wabah covid kemana ya,"['hallo', 'dan', 'mau', 'laporkan', 'adanya', 'kegiatan', 'yang', 'melanggar', 'ketentuan', 'tentang', 'jaga', 'jarak', 'selama', 'wabah', 'covid', 'kemana', 'ya']"
hei guys gw mau ngajak kalian untuk agar pandemik covid ini lekas hilang aamiingimana kurangin dah tuh nongki halan atau segala aktivitas diluar ruangan yuk belajar utbk aja tau sendirikan pesaing lo tuh buanyak banget yok,"['hei', 'guys', 'gw', 'mau', 'ngajak', 'kalian', 'untuk', 'agar', 'pandemik', 'covid', 'ini', 'lekas', 'hilang', 'aamiingimana', 'kurangin', 'dah', 'tuh', 'nongki', 'halan', 'atau', 'segala', 'aktivitas', 'diluar', 'ruangan', 'yuk', 'belajar', 'utbk', 'aja', 'tau', 'sendirikan', 'pesaing', 'lo', 'tuh', 'buanyak', 'banget', 'yok']"
jangan ada dusta diantara kita kisah pilu dokter menangani pasien yang ternyata positif covid,"['jangan', 'ada', 'dusta', 'diantara', 'kita', 'kisah', 'pilu', 'dokter', 'menangani', 'pasien', 'yang', 'ternyata', 'positif', 'covid']"
covid telah bermutasi ada gelombang kedua virus corona,"['covid', 'telah', 'bermutasi', 'ada', 'gelombang', 'kedua', 'virus', 'corona']"
salam jumaat ya allah kami menadah tangan minta keampunan pada mu dan berserah diri dengan mu dan berilah kekuatan dan kesihatan yang baik jauhilah kami dari segala penyakit berjangkit covid dan hamba mu yang sedang berjuang kesakitan yang berada di hospital,"['salam', 'jumaat', 'ya', 'allah', 'kami', 'menadah', 'tangan', 'minta', 'keampunan', 'pada', 'mu', 'dan', 'berserah', 'diri', 'dengan', 'mu', 'dan', 'berilah', 'kekuatan', 'dan', 'kesihatan', 'yang', 'baik', 'jauhilah', 'kami', 'dari', 'segala', 'penyakit', 'berjangkit', 'covid', 'dan', 'hamba', 'mu', 'yang', 'sedang', 'berjuang', 'kesakitan', 'yang', 'berada', 'di', 'hospital']"
saya kuatir test covid belum menyeluruh tau nanti ada korban tergeletak mati suspek corona ngeri,"['saya', 'kuatir', 'test', 'covid', 'belum', 'menyeluruh', 'tau', 'nanti', 'ada', 'korban', 'tergeletak', 'mati', 'suspek', 'corona', 'ngeri']"
ada yang kek gue saking fokus sama berita soal covid hari ini siap siap kerja padahalan tanggal merah yalord,"['ada', 'yang', 'kek', 'gue', 'saking', 'fokus', 'sama', 'berita', 'soal', 'covid', 'hari', 'ini', 'siap', 'siap', 'kerja', 'padahalan', 'tanggal', 'merah', 'yalord']"
berarti dah lama gak gitaran mungkin mau bikin album lagu buat corona covid yudhoyono,"['berarti', 'dah', 'lama', 'gak', 'gitaran', 'mungkin', 'mau', 'bikin', 'album', 'lagu', 'buat', 'corona', 'covid', 'yudhoyono']"
berat mbah terlalu banyak kemungkinan sedang haid gak ndang mampet jualan online gak payupayu lagi horny sing lanang mumet covid sudah masak enak dapat berkatan yg lebih enak sariawanloro untukeputihanmurus ilate kecakot bengese anyar masker kerlisut dst,"['berat', 'mbah', 'terlalu', 'banyak', 'kemungkinan', 'sedang', 'haid', 'gak', 'ndang', 'mampet', 'jualan', 'online', 'gak', 'payupayu', 'lagi', 'horny', 'sing', 'lanang', 'mumet', 'covid', 'sudah', 'masak', 'enak', 'dapat', 'berkatan', 'yg', 'lebih', 'enak', 'sariawanloro', 'untukeputihanmurus', 'ilate', 'kecakot', 'bengese', 'anyar', 'masker', 'kerlisut', 'dst']"
amalkan langkahlangkah pencegahan penularan covid sebagai amalan dalam kehidupan seharian kita,"['amalkan', 'langkahlangkah', 'pencegahan', 'penularan', 'covid', 'sebagai', 'amalan', 'dalam', 'kehidupan', 'seharian', 'kita']"
kementerian agama provinsi papua barat azis hegemur mengatakan umat islam di provinsi papua barat diimbau agar tidak menolak pemakaman jenazah pasien positifcterjangkit covid opm,"['kementerian', 'agama', 'provinsi', 'papua', 'barat', 'azis', 'hegemur', 'mengatakan', 'umat', 'islam', 'di', 'provinsi', 'papua', 'barat', 'diimbau', 'agar', 'tidak', 'menolak', 'pemakaman', 'jenazah', 'pasien', 'positifcterjangkit', 'covid', 'opm']"
bumimaafkan kamiyang tak pernah sadar bahwa kau juga butuh istirahat,"['bumimaafkan', 'kamiyang', 'tak', 'pernah', 'sadar', 'bahwa', 'kau', 'juga', 'butuh', 'istirahat']"
kalau ga ada covid jam segini gue udah mulai pendakian dari pos cangkuang,"['kalau', 'ga', 'ada', 'covid', 'jam', 'segini', 'gue', 'udah', 'mulai', 'pendakian', 'dari', 'pos', 'cangkuang']"
developers biang rusuh proyek konstruksi swasta termasuk yg dikecualikan untuk freeze dlm psbb dki oleh gub pdhl dlm permenkes tdk termasuk yg dikecualikan juga proyek konstruksi besar berpotensi menjadi kluster penyebaran covid krn padat bijimane nih,"['developers', 'biang', 'rusuh', 'proyek', 'konstruksi', 'swasta', 'termasuk', 'yg', 'dikecualikan', 'untuk', 'freeze', 'dlm', 'psbb', 'dki', 'oleh', 'gub', 'pdhl', 'dlm', 'permenkes', 'tdk', 'termasuk', 'yg', 'dikecualikan', 'juga', 'proyek', 'konstruksi', 'besar', 'berpotensi', 'menjadi', 'kluster', 'penyebaran', 'covid', 'krn', 'padat', 'bijimane', 'nih']"
